experiment,model_type,lead,mae,rmse,bias,gradient_mae
residual_unet_silu_best_50ep,unet,14,0.21852421760559082,0.3709937632083893,-0.009245600551366806,0.17709940671920776
residual_unet_silu_best_50ep,baseline,15,0.34318214654922485,0.5666798949241638,-0.0028779373969882727,0.19312989711761475
residual_unet_silu_best_50ep,unet,15,0.2216043323278427,0.3774941563606262,-0.011937441304326057,0.17913706600666046
residual_unet_silu_best_50ep,baseline,16,0.3444092869758606,0.5713061690330505,-0.0030513089150190353,0.19337600469589233
residual_unet_silu_best_50ep,unet,16,0.2242547869682312,0.3806394338607788,-0.012504145503044128,0.17983074486255646
residual_unet_silu_best_50ep,baseline,17,0.3454777002334595,0.5770296454429626,-0.003418099833652377,0.1946377158164978
residual_unet_silu_best_50ep,unet,17,0.226575568318367,0.38408201932907104,-0.014089595526456833,0.1812863051891327
residual_unet_silu_best_50ep,baseline,18,0.35057228803634644,0.589321494102478,-0.0038372131530195475,0.19765684008598328
residual_unet_silu_best_50ep,unet,18,0.23002558946609497,0.392010897397995,-0.01712210848927498,0.1840353012084961
residual_unet_silu_best_50ep,baseline,19,0.3571615219116211,0.601167619228363,-0.005001361016184092,0.20078596472740173
residual_unet_silu_best_50ep,unet,19,0.23688605427742004,0.40557458996772766,-0.018656328320503235,0.18772883713245392
residual_unet_silu_best_50ep,baseline,20,0.36412084102630615,0.6126320958137512,-0.005962597671896219,0.20425282418727875
residual_unet_silu_best_50ep,unet,20,0.24037179350852966,0.41023799777030945,-0.020587146282196045,0.19066928327083588
residual_unet_silu_best_50ep,baseline,21,0.3695927560329437,0.6235209107398987,-0.0063437470234930515,0.2060953676700592
residual_unet_silu_best_50ep,unet,21,0.24332529306411743,0.41785359382629395,-0.020858827978372574,0.192446768283844
residual_unet_silu_best_50ep,baseline,22,0.3739250898361206,0.6337087750434875,-0.006073362194001675,0.2068638801574707
residual_unet_silu_best_50ep,unet,22,0.24543561041355133,0.4231935739517212,-0.021305371075868607,0.19305936992168427
residual_unet_silu_best_50ep,baseline,23,0.3784373104572296,0.6430234909057617,-0.006110203452408314,0.20712825655937195
residual_unet_silu_best_50ep,unet,23,0.24729879200458527,0.428251177072525,-0.021601485088467598,0.19307421147823334
